,support,confidence,lhs,rhs,sale,recommendation,profit,mark
952,0.013000000000000001,0.522,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '芹菜炒腰花']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.629
48,0.032,0.75,"['爆炒猪肝', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.628
53,0.032,0.698,"['芹菜炒腰花', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.628
1298,0.012,0.55,"['剁椒鱼头', '芹菜炒腰花', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.626
1262,0.012,0.611,"['剁椒鱼头', '焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.626
1500,0.012,0.688,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '蒙古烤羊腿']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.626
1477,0.012,0.733,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.626
60,0.031,0.617,"['焖猪手', '爆炒猪肝']",自制猪肉脯,0.42,0.86,0.4,6.626
1451,0.012,0.733,"['凉拌菠菜', '焖猪手', '蒜香辣花甲']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.626
63,0.031,0.879,"['焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.626
1443,0.012,0.647,"['凉拌菠菜', '剁椒鱼头', '芹菜炒腰花', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.626
67,0.03,0.737,"['凉拌菠菜', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.624
2209,0.011000000000000001,0.588,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '自制猪肉脯']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.624
2216,0.011000000000000001,0.588,"['焖猪手', '芹菜炒腰花', '蒙古烤羊腿', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.624
2217,0.011000000000000001,0.588,"['焖猪手', '自制猪肉脯', '蒙古烤羊腿', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.624
2220,0.011000000000000001,0.588,"['剁椒鱼头', '焖猪手', '蒙古烤羊腿', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.624
1967,0.011000000000000001,0.625,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '自制猪肉脯', '芹菜炒腰花']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.624
1690,0.011000000000000001,0.526,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '自制猪肉脯', '芹菜炒腰花']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.624
1734,0.011000000000000001,0.7140000000000001,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '蒙古烤羊腿', '辣炒鱿鱼']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.624
1627,0.011000000000000001,0.556,"['焖猪手', '芹菜炒腰花', '蒙古烤羊腿']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.624
1720,0.011000000000000001,0.526,"['凉拌菠菜', '美妙绝伦之白莲花', '芹菜炒腰花']",豌豆薯仔猪骨汤,0.3,0.88,0.38,6.624
97,0.027999999999999997,0.8390000000000001,"['焖猪手', '爆炒猪肝', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.62
89,0.027999999999999997,0.65,"['凉拌菠菜', '焖猪手', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.62
106,0.027000000000000003,0.9620000000000001,"['焖猪手', '芹菜炒腰花', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.618
121,0.026000000000000002,0.511,"['焖猪手', '豌豆薯仔猪骨汤']",自制猪肉脯,0.42,0.86,0.4,6.616
126,0.026000000000000002,0.857,"['凉拌菠菜', '焖猪手', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.616
124,0.026000000000000002,0.6859999999999999,"['剁椒鱼头', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.616
154,0.024,0.759,"['凉拌菠菜', '焖猪手', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.612
159,0.024,0.733,"['凉拌菠菜', '爆炒猪肝', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.612
162,0.024,0.579,"['爆炒猪肝', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.612
184,0.023,0.8079999999999999,"['凉拌菠菜', '芹菜炒腰花', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.61
2,0.065,0.545,['芹菜炒腰花'],焖猪手,0.54,0.84,0.41,6.608
200,0.021,0.833,"['芹菜炒腰花', '谷稻小庄', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.606
219,0.021,0.769,"['凉拌菠菜', '剁椒鱼头', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.606
213,0.021,0.769,"['芹菜炒腰花', '豌豆薯仔猪骨汤']",自制猪肉脯,0.42,0.86,0.4,6.606
185,0.021,0.741,"['剁椒鱼头', '焖猪手', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.606
187,0.021,0.7140000000000001,"['芝士烩波士顿龙虾', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.606
189,0.021,0.7140000000000001,"['凉拌菠菜', '焖猪手', '爆炒猪肝']",自制猪肉脯,0.42,0.86,0.4,6.606
193,0.021,0.513,"['焖猪手', '蒙古烤羊腿']",自制猪肉脯,0.42,0.86,0.4,6.606
196,0.021,0.606,"['焖猪手', '美妙绝伦之白莲花']",自制猪肉脯,0.42,0.86,0.4,6.606
243,0.02,0.633,"['剁椒鱼头', '爆炒猪肝']",自制猪肉脯,0.42,0.86,0.4,6.604
259,0.02,0.731,"['焖猪手', '谷稻小庄', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.604
227,0.02,0.826,"['凉拌菠菜', '焖猪手', '爆炒猪肝', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.604
273,0.019,0.562,"['凉拌菠菜', '剁椒鱼头', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.602
271,0.019,0.562,"['芹菜炒腰花', '香酥两吃大虾']",自制猪肉脯,0.42,0.86,0.4,6.602
280,0.019,0.857,"['焖猪手', '芝士烩波士顿龙虾', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.602
285,0.019,0.529,"['凉拌菠菜', '谷稻小庄', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.602
302,0.019,0.643,"['美妙绝伦之白莲花', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.602
316,0.019,0.9,"['爆炒猪肝', '芹菜炒腰花', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.602
319,0.019,0.9470000000000001,"['凉拌菠菜', '焖猪手', '芹菜炒腰花', '谷稻小庄']",自制猪肉脯,0.42,0.86,0.4,6.602
306,0.019,0.7829999999999999,"['焖猪手', '芹菜炒腰花', '豌豆薯仔猪骨汤']",自制猪肉脯,0.42,0.86,0.4,6.602
334,0.018000000000000002,0.5479999999999999,"['芹菜炒腰花', '蒙古烤羊腿']",自制猪肉脯,0.42,0.86,0.4,6.601
370,0.018000000000000002,0.5670000000000001,"['炝炒大白菜', '焖猪手']",自制猪肉脯,0.42,0.86,0.4,6.601
346,0.018000000000000002,0.85,"['焖猪手', '爆炒猪肝', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.601
356,0.018000000000000002,0.586,"['焖猪手', '蒙古烤羊腿', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.601
365,0.018000000000000002,0.773,"['爆炒猪肝', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.601
351,0.018000000000000002,0.68,"['凉拌菠菜', '爆炒猪肝', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.601
359,0.018000000000000002,0.586,"['凉拌菠菜', '剁椒鱼头', '焖猪手']",自制猪肉脯,0.42,0.86,0.4,6.601
324,0.018000000000000002,0.531,"['凉拌菠菜', '焖猪手', '蒙古烤羊腿']",自制猪肉脯,0.42,0.86,0.4,6.601
373,0.018000000000000002,0.5670000000000001,"['凉拌菠菜', '焖猪手', '豌豆薯仔猪骨汤']",自制猪肉脯,0.42,0.86,0.4,6.601
354,0.018000000000000002,1.0,"['焖猪手', '芹菜炒腰花', '谷稻小庄', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.601
416,0.017,0.8420000000000001,"['凉拌菠菜', '剁椒鱼头', '焖猪手', '芹菜炒腰花']",自制猪肉脯,0.42,0.86,0.4,6.599
426,0.017,0.8,"['剁椒鱼头', '芹菜炒腰花', '辣炒鱿鱼']",自制猪肉脯,0.42,0.86,0.4,6.599
